complaint_what_happened,ticket_classification
i have two account checking to be exact i have overdraft protection on .one of the account it not i use only to cover overdraft if it happens but chase just inform me that a checking account can not be used for overdraft protection. all the items are been clear right before midnight or 3 minutes before or not showing a negative account at all into nest day where they charge the fees. not giving the customer the ability to transfer the money within the same bank. also i have alert that inform when my account is overdraft never arrived the text either until after the charges have charge or not at all. i feel this type of transaction are having the customer be cough with all this charges with no chance to deposit or transfer money very snick practices xx/xx/xxxx 2 charges of 34 other times multiples charges of 4 transaction of 34 being charge when the money was deposit before everything else was clear.,Checking or savings account + Checking account
"on xx/xx/xxxx, i received a letter from chase card services stating that they would be taking negative action against my credit line based on an unsolicited credit review of my account. in the letter, it clearly stated that if i wished to preserve my rights in disputing the finding that i must send a reply in writing. 

on xx/xx/xxxx, i sent a letter providing additional information disputing their findings and providing additional information. 

only xx/xx/xxxx, i received a phone call informing me that if i wished to dispute the negative action on my credit that they require that i wave my rights to have my dispute be handled in writing. i informed chase that i had no intention of waving my rights and informed them that i want my response in writing. i then wrote another letter to them stating that i do not wave my rights to having my dispute handled in writing. 

on xx/xx/xxxx, i received another letter from chase stating once again that if i wished to dispute the negative action on my credit that they would not handle it in writing but i would instead need to call them. in the letter they said that this action was being done, "" to be fair '' ( no explanation of how waving my rights of my dispute in writing is supposed to be fair ).",Credit card or prepaid card + General-purpose credit card or charge card
"i went to chase bank online and access my account and try to review the bill payment i made to xxxx xxxx and xxxx and there'e option to get proof of payment but when i download the documents did not allow me to save the document nor print i understand many of the option are self services but should accessible via computer, laptop, tablet and mobile and i should be told by the staff such customer services or bill pay that they unable to print and mail proof of payment to the customer and i was informed that go to branch and ask a personal bank and this office as well i know that they are not speaking with customer and i told that the not the account and could not give me reference number to complaint i made. all online banking self should be access to the customer. they should be able to mail the bill payment information upon request. please investigate and all misconduct and mismanagement found all individuals be convited according to united states federal regulations. there will not option to select checking account nor indicated it bill payment complaint on this website","Money transfer, virtual currency, or money service + Check cashing service"
"on xx/xx/2018 a transfer was made into an account by mistake. chase is not responding to request to return funds.

the amount deposited incorrectly into a chase account was {$500.00}.

i contacted and subsequently filed a complaint with my bank ( xxxx xxxx ) who informed me that chase would not grant permission to retrieve incorrecty deposited funds.","Money transfer, virtual currency, or money service + Domestic (US) money transfer"
"chase denied credit because they "" inadvertently '' made a mistake. i don't believe that for a moment. i believe it is a business practice which is convenient for them. their treatment of people is totally unacceptable. i can only assume that the decline is due to my age as my credit is excellent. 
xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxxxx xxxx, xxxx. xxxx xx/xx/xxxx executive office-att : human being xxxx xxxx xxxx xxxx, xxxx   xxxx dear robot : i am in receipt of your totally cavalier, non-responsive letter of xx/xx/xxxx. i know you are totally uncaring about your customers but do you have to be so blatant? 

i have no intention of just starting your outrageous procedure all over. i need not to deal with your robot brethren. so, find a pleasant human being, if you p one. e mail me with what, exactly, you need to submit this application. try to use all the information you have on me at your disposal to avoid unnecessary work for me. remember me? im the customer. 

you have wasted an inordinate amount of time because of your total inefficiency. try taking some responsibility and a starter course on manners. 

strong letter to follow. 

xxxx & xxxx xxxx xxxx xxxx","Credit reporting, credit repair services, or other personal consumer reports + Other personal consumer report"
"on xx/xx/2020, my mom tried to access her online chase savings account and it was locked due to suspicious activity. the website provided a number, xxxx to unlock the account. i was put on hold for over an hour before someone answered and they were able to unlock the account. we explained that we were trying to transfer to another account that had been verified by recording 2 small deposits that chase made to the account we were paying to. we tried the transfer again and again, they suspected suspicious activity and we had to call and were on hold for 2.5 hours and then disconnected. there is no online option to unlock the account, no chat option and the call center does not offer a callback number.",Checking or savings account + Savings account
"i believe the company is possibly involved in an unfair and illegal practices when it comes to consumer credit cards. i was sent a pre-approval from chase due to my excellent credit, which i accepted. after completing the application, i was informed that i was approved for a $ xxxx credit limit. after receiving the physical card in the mail, i created my online account and discovered that the card shows as "" closed ''. i called chase customer service department to inquire as to the reason. after being transferred numerous times, and speaking to numerous associates, i was finally advised that the card has been closed due to the bank 's discretion and that i my credit history does n't meet the chase preferred credit card requirements. this upset me as i was just approved 4-5 days earlier and had not even had a chance to use the card. if there was something in my credit history to condone closing of the card, this should have been done in the 1st place and the application should have been not approved/declined. now chase card appears on all of my credit bureau accounts as a closed card by the creditor. it is my understanding that its an illegal practice, much like what xxxx xxxx has been doing and has been fined by the us government. chase bank approved my application, their associate received the credit for it, and now 4 days later they are closing the card and impacting me credit history negatively.",Credit card or prepaid card + General-purpose credit card or charge card
"i was calling in to the credit card company, to make a phone payment for  xxxx   2017 , as i do every month. the voice message informed me, before i could even make payment, that i was charged a {$25.00} late fee on  xxxx / xxxx / 17  ( for no payment made ) and now i owe, as of when i made call on  xxxx / xxxx / 17 , {$84.00} for month of  xxxx  and {$100.00} for current month of  xxxx . i then reached out to representative this evening to ask why i was charged a late fee for  xxxx  and expected to m ake x2  payments now ( for  xxxx  &  xxxx   ),  when i made {$100.00} payment on  xxxx / xxxx / 17  for the month of  xxxx .  (  mind you, i also made {$100.00} payment on  xxxx / xxxx / 17 , so  xxxx  was paid up as well ) .the  xxxx  representative told me that since my payments are due on the  xxxx  of every month, i paid my  xxxx  bill too soon so it does n't count towards my  xxxx  bill and since there was no other payment made closer to the  xxxx , it was considered no payment made, i was considered delinquent in payment and now i owe for both  xxxx  and  xxxx  with late fee. this is crazy to be penalized for an early payment made during the month a payment is due. i closed this account some time ago and i am just making payments until balance is zero. it just seems like the bank is taking advantage of paying consumers. i have not yet made my  xxxx  payment. this is so very wrong.",Credit card or prepaid card + General-purpose credit card or charge card
"i contacted chase mortgage xx/xx/xxxx to provide new account information for my mortgage auto payment. i completed the form and faxed it back the same day i received the form. i spoke with an agent who confirmed the payment would be taken from my new account on xx/xx/xxxx. on xx/xx/2016, chase tried to take the money from my old account and i incurred a {$29.00} fee. i called chase and they said i needed to complaint the form again and they would not reimburse me the {$29.00} fee. i tried to write a complaint to their executive office but after 10 minutes of trying to locate the information on their website with no success i gave up and filed this complaint. chase screwed up and did not take the money from the right account and now i 'm charged an overdraft fee that i would never incurred if they had not screwed up. i think it is horrible customer service to not reimburse the fee for there mistake. why should pay {$29.00} when i did everything right. i contacted them in more than enough time for the payment and even spoke with someone to confirm the new payment information. now they want me to complete the form again. what kind of confidence should i have that it will bec completed this time and i wo n't have this problem next month. horrible horrible customer service. i want to reimbursed my {$29.00} fee for their mistake.",Mortgage + Conventional fixed mortgage
"i disputed this account with jp morgan chase bank several times and each time i was asked to provide additional documents to support my fraud claim. the last dispute i submitted was refused because i had someone as my power of attorney and jp morgan chase bank wanted me to provide them with the power of attorney document which i did. it's been over 60 days since i submitted my power of attorney document it's been over 120 days since i filed my initial dispute and jp morgan chase bank is still reporting erroneous negative information about me to all three credit bureaus. it's bad enough i was a victim of fraud and i'm being dragged through the mud trying to clear my name. i feel like i'm getting the run around and that jp morgan chase bank does not want to remove this negative incorrect information from my credit report, they also have not responded to me in regards to my power of attorney documents i sent to them by certified mail. i do know that the statute of limitations have expired for jp morgan chase bank as far as how much time they have to respond to a dispute. at this point they are disregarding all types of local and federal laws by disregarding all of my civil liberties. jp morgan chase bank allowed someone to open an auto loan using my identity at a used car dealership that the owner of that dealership was convicted in federal court on fraud charges stemming from his dealership. my next attempt will be a legal one, i'm tired of getting the run around by jp morgan chase bank.",Vehicle loan or lease + Loan
"in the initial questionnaire the company has been issued multiple qualified written correspondences to validate the debt, produce documents since 2016 under title 15 usc 1692, 1 and 2 and tila and respa in which they have failed to answer. furthermore, chase is not the original so called lender. jp morgan and chase bank has filed a fraudulent notice of substitution of trustee, notice of default as a foreign entity with the xxxx county recorder attempting to "" foreclosure '' on a "" mortgage '' that does not exist and where there was no legal binding contract that was signed by me. there is now third party activity who is attempting to foreclose on a home equity line of credit that was initially established with another bank that went bankrupt. the parties listed have no agreement with me and have used deceptive tactics to steal my property. this has been occurring for twelve years but have been disputed with qualified written requests to chase concerning the facts about the transaction and they have continued to conceal and fail to disclose any and all pertinent or material information in replying to my requests. chase has continued to violate my consumer rights through threats and unfair business practices and continued to fail in imparting correct information. 
under fraud all suspects in their fiduciary capacity, breached their duty and care of me, xxxx xxxx xxxx xxxx. where there was a duty to speak, the disclosure was not full and complete with the opportunity to answer, challenge or cancel the contract or rescind my signature under the aforementioned acts. jp morgan 's wilful concealment of material and qualifying facts is evident based on their actions up to this date and was a true statement to my inquiries and requests which was a misrepresentation. through their wilful acts to conceal and suppress such facts in leading me to believe that the matters regarding the home equity line of credit that was established with another bank being a mortgage was made me obligated to pay or have my home taken from me was fact and truth and nothing but the truth, jp morgan has committed fraud against me and are using third parties as debt collectors and lien holders to file fraudulent notices and requests in the county recorder of xxxx. in closing, jp morgan and all of their third party accomplices have been equivocal, evasive, and misleading, where being calculative in order to convey a false impression of the truth. notice and filings are under a false erroneous name that is not me - ( xxxx xxxx ) ; also the account number has been changed from xxxx to xxxx. 
as a note looking up the definition of fraud : fraud is defined in black 's law dictionary 6th edition on page 660 "" an intentional perversion of truth for the purpose of inducing another in reliance upon it to part with some valuable thing belonging to him or to surrender a legal right. a false representation of a matter of fact, whether by words or conduct, by false or misleading allegations, or by concealment of that which should have been disclosed, which deceives and is intended to deceive another so that he shall act upon it to his legal injury. anything calculated to deceive, whether by a single act or combination, or by the suppression of truth, or by suggestion of what is false, whether it be by direct falsehood or innuendo, by speech of silence, word of mouth, or look, or gesture. delanty v. first pennsylvania bank, n.a., 318 pa. super. 90, 464 a. 2nd 1243, 1251. a generic term, embracing all maltofarious means which human ingenuity can devise, and which are resorted to by one individual to get advantage over another by false suggestions or by suppression of truth, and includes all surprise, trick, cunning, dissembling, and unfair way by which another is cheated. johnson v. mcdonald, 170 okl. 117, 39 p.2nd 150 "" bad faith "" and "" fraud "" are synonymous, and also synonyms of dishonesty, infidelity, faithlessness, unfairness, etc. ''",Mortgage + Home equity loan or line of credit (HELOC)
"in xx/xx/2018 under reference numberxxxx i applied for a credit card account with chase. i was notified by chase that they needed verification of my identity so i sent them a copy of my florida drivers license and social security card. i even called chase to verify receipt of those items. i explained to chase that i recently sold my home on xxxx xxxx in xxxx xxxx florida and bought a new home on the beach in xxxx xxxx florida. i informed chase that this information could be verified through the xxxx county property apprasierss office for the xxxx xxxx xxxx address and the xxxx county property office for the xxxx xxxx xxxx ( new ) address. chase ignored all information provided to them and lowered my credit score with their inquiries. chase then sent a letter to my old address even though they were given proof of my new address. this is not my first run in with chase in applying for a credit account. chase has a strong history of discrimination and violating the consumer credit protection act. i have several files on this. i applied with chase about four years ago and they discriminated against me back then while they were accepting government bail outs and building new bank branches all over the usa with that bail out money. i applied for an interest free card with them recently. i can be reached at my home address of xxxx xxxx xxxx # xxxx xxxx xxxx, florida xxxx or you can contact me directly at xxxx or you can write to me at my p.o. box at p.o. box xxxx xxxx xxxx florida xxxx. all of this information is on my credit report and available to chase. chase has a history of discriminatory practices related to me and will result in federal litigation being filed against them. but first decided to contact this agency first.",Credit card or prepaid card + General-purpose credit card or charge card
"so i got scammed on late xxxx early xxxx of year 2019 for the amount of {$1700.00}. complaint id # xxxx summary of my complaint : chase executive named xxxx received my complaint and still flat out rejected me, referencing the daa ( deposit agreement act ) where it says ... ( not word for word ) "" if employee contradicts rule, this rule will govern '' with the rule being that they have no responsibility for their customer representatives providing misinformation to me that the check i withdrew was verified good. i'm frustrated because for her to use that as her defense would mean that she expects me to have remembered that rule on page x line y that i signed over a decade ago. that's outrageous. she is out of her mind. no one can remember that. it is her companies fault for not only having poor check verification staff, but also for lack of customer engagement in the sense that i was not made aware of this "" rule '' in the 20+ times i called chase prior to withdrawing the check. i'm xxxx and i want to be fully reimbursed for what was never my fault.",Debt collection + Credit card debt
i received a ppp loan and it was deposited into my chase account and chase bank now is said that first all i needed to do was for them a copy of my 1099 and also my tax return the prove that i own a sole proprietorship business and sent that over to them and now they decided that they want me to go to tax attorney or cpa to get a letter so that they can unfreeze my ppp loan funds even though the bank that did the loan already verified all my information how i worked on the sole proprietor and they funded the loan but once it was deposit to chase chase now has decided that they want to hold my money ransom because they want me to get all kinds of different documentation as a sole proprietor it's not something that is needed to run the business,Checking or savings account + Checking account
"i have an auto loan with chase auto finance. in xx/xx/2017, my payment due date fell on a saturday. i made the payment on friday before the xxxx cutoff time. instead of the payment posting that day like it should have, it didn't post until the following business day, resulting in a 30 day late payment that is showing up on my credit report. i've tried calling chase auto finance multiple times to request that this 30 day late payment be removed from my credit report, and every single time i end up having to ask for a supervisor and/or manager, which either ends with a disconnected call or failed transfer, or that someone will have to call me back. i've never received a return call from a supervisor or anyone else in management. i've tried sending a payment dispute letter to their research department, but i can't get any answers from that either. i would like chase auto finance to remove the one and only late payment from my credit report so that i can continue with the process of buying a house.",Vehicle loan or lease + Loan
"xx/xx/xxxx i made a purchase with my chase credit card that i was not happy with, i attempted to resolve the issue with the merchant 3 times requesting an exchange before contacting chase to start a dispute on xx/xx/2020. my call was made on xx/xx/2020 at xxxx. i was told during the call that chase would not file a dispute since i still had the original items purchased with the card. ( what a catch-22, i want an exchange, but can't get an exchange and can't file a dispute because i couldn't get an exchange ) i was also told i couldn't file a dispute because the phrase "" we reserve the right to limit guarantee at our discretion '' was included in their return policy. so basically if you bank with chase you can get scammed as long as you tell people your guarantee can be limited based on discretion. i was on the phone for 25 minutes while the call cut in and out and eventually asked to speak to a supervisor since i have been though the dispute process with other banking institutions before and was familiar with the process and had in my mind followed procedure before being left with the dispute process as a last resort. i was put on hold to wait for a supervisor. the supervisor arrived, and then immediately hung up. i am in complete disbelieve that chase would so brazenly deny american consumers the a ) the ability to dispute a credit card charge and b ) the ability to speak to someone about possible resolutions. i wasn't even trying to refund a whole charge, it was a partial dispute of a receipt for a single item on the receipt so it was obvious that it was a well intended dispute.",Credit card or prepaid card + General-purpose credit card or charge card
"i have never been late to this account. i have records of all my payments sent to jp morgan and chase for this vehicle.

on the month of xx/xx/xxxx chase apparently misplaced my check and payment.

i paid my xx/xx/xxxx payment on xx/xx/xxxx check # xxxx  i paid my xx/xx/xxxx payment on xx/xx/xxxx check # xxxx i paid my xx/xx/xxxx payment on xx/xx/xxxx check # xxxx i paid an additional payment on xx/xx/xxxx via phone. later on i spoke to chase and they apologized ad cleared the late payment fees and asked me to dispute the information with the credit agencies.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"i was looking for a new credit card on chase.com ( where i have 2 other cards ). i clicked to learn more details about the chase sapphire preferred card and was automatically signed up ( 1 click ) for a much higher apr than i was expecting.

the link i clicked was for a preapproved card and i assumed that it was going to show me more details about the offer, but instead it just signed me up for the card.",Credit card or prepaid card + General-purpose credit card or charge card
"my interest rate jumped on two of my credit cards, the only two i have with chase bank. my payment doubled overnight. i've been trying to make the payments, but it's hard because i don't work overtime any longer. i am recovering from xxxx. i told chase this on 3 occasions and asked for a temporary interest reduction to allow me to catch up. they flatly refused stating they would close the account and bring the interest to zero -- but they know and i know that would mess up my credit to debt ration even further. i am asking for advocacy and intervention on this matter. i am a citizen of the united states. i am xxxx years of age and a single mom. my father is a xxxx xxxx veteran whom served a tour with the xxxx xxxx. i have no criminal or motor vehicle record of any kind. despite being a good debtor this bank has decided to act against me, even though i have a medical hardship.",Credit card or prepaid card + General-purpose credit card or charge card
"letter sent to case detailing problem on ba visa card account number : xxxx category type : account inquiry attachmentsize:0 in a letter from from chase 's xxxx department dated xxxx xxxx 2020, i was informed that the following unauthorized charges ( along with others ) were being add to my account : xx/xx/2020 xxxx xxxx  xxxx xxxx you received benefit from this transaction. 
xx/xx/2020 xxxx xxxxxxxx xxxx xxxx xxxxxxxx you received benefit from this transaction. 
xx/xx/2020 xxxx xxxx xxxx xxxx xxxx xxxx you received benefit from this transaction. 
xx/xx/2020 xxxx xxxx xxxx xxxx xxxx you received benefit from this transaction. 

this document was insulting to say the least. how does some receive benefit from charges he did not made and at locations he has never visited? please explain. by no stretch of ingenuity, can such an explanation be given. the assertion is not only insulting, it is lunacy. 

also, i am requesting copies of receipts / bill of sales / registration documents from establishment where bogus charges were made. in the case of xxxx xxxx and xxxx xxxxxxxx xxxx, these establishments must have such records on file, indeed the xxxx of the former -- xxxx xxxx, xxxx -- told me in a telephone conversation this past tuesday or wednesday that all relative documentation had been seen to chase 's xxxx department. she further said that the person making the charges used a card with his name on it but apparently with my account information embedded. she called it a 'cloned ' card. 
the other hotel must have similar records. when i called the xxxx to inquire, he said did not have time to look up the records and never called me back. 

over the years i have stayed at a number of hotels -- as i am sure you have. when a guest registers, he is asked to fill out a card with his name, address and telephone number. often the desk clerk wants an automobile 's licence plate, along with a credit card. 

so, there is no reason why this information is not available. 

as far as the bogus charge at the tire company, the one at the counter puts the buyer 's name, address, and other information on the bill of sale. i would like have a copy of that documents. 

the same is true with rental / storage units. i have never rented one, but i suppose the owner or xxxx gets some information on the person renting the unit. i should like a copy of that document as well. 

the bottom line is that none of those charges ( along with a host small transactions at fast food joints, xxxx, a dry cleaners ' ) could possibly have benefited. me, as alleged in the xxxx xxxx letter. if so, i want an explanation in writing. if not, which of course is the case, i want a written apology as well as those charges being removed from my account, and i should like it done within three business day. 

as i have stated in previous letter, i have been told a multitude of things -- often conflicting -- by your agents over the telephone. two said the charges i have just referenced were still marked as 'fraud ' and would not be added to my account ( this was after the xxxx xxxx communique was received ), one went so far as to apologize for the assertion 'you have received benefit '. another, told me to subtract unauthorized charges and pay what i actually owed ( which i did ). the last person with whom i spoke said the previous person gave me bad information. i needed to pay for fraudulent charges as well. she also advised me to contact xxxx xxxx and request registration documents and to sent them to chase 's fraud department. when i contacted the xxxx, she said those documents had already been sent to chase 's fraud department. she further directed me send documentations showing where i were when fraudulent charges were made, which i done over a month earlier, and gave me an email address. documentation has been sent but not acknowledged. 
what i am seeking : ( 1 ) all unauthorized charges be removed from my account, and written conformation that these bogus charge will not be added back to my account.",Credit card or prepaid card + General-purpose credit card or charge card
"xx/xx/2018 consumer financial protection bureau xxxx xxxx xxxx xxxx, xxxx xxxx ref. : new chase atms in brief, new chase atms keep customers monies if cards are not immediately retrieved. they dont even issue a receipt. funds are taken out of the customers accounts immediately, but not refunded to customers when not dispensed. to obtain refunds, customers have to initiate a claim process with bank issuing their cards that may take 50 business days. if a customer is unable to initiate claim process, chase keeps the funds. also, chase still charges customers a {$3.00} fee for the use of the atm! more specifically, on xx/xx/2018, at xxxx xxxx, i went to my chase branch at xxxx xxxx xxxx xxxx, xxxx xxxx, xxxx, to do some banking. as i entered the branch, i decide to start with an atm withdrawal of {$750.00} with a debit card i have from another bank ( xxxx xxxx ). the atm i used there is a new tablet inspired e-atm. after entering my card code, the screen showed the transaction had been approved and i heard the machine preparing the bills for dispensing. as i looked down at the slot to retrieve my cash, to my surprise the cash slot did not open. as i saw the branch manager standing nearby, i immediately told him what was happening. he promptly came to the atm and explained the cash is kept inside the machine if the card is not retrieved right away, and he pointed to the card to be removed. he also suggested i wait a couple of days to see if the bank system would transfer the funds back to my account at the xxxx xxxx.

more than two days went by, and my money has not been refunded to my account. i contacted chase customer service and the branch, and i was told that according to the banks policies, i have to start a claim with xxxx xxxx so they can request chase to send them the funds. i contacted the xxxx xxxx and they informed me the whole process of preparing their request to chase and waiting for chase to process is expected to take 50 business days.

under the current policies, the new chase atms 1 ) take monies from someones account and keep the cash if the card is not retrieved right away, 2 ) do not immediately return the funds that were not dispensed, 3 ) allow chase to hold on to the customer funds for a long period of time, or 4 ) allow the bank not to refund the cash if the customer is unable to go through the claim process ( due to disability or cognitive deficit ), 5 ) leave the customer without those own funds over a period that may be extremely important to the customer, 6 ) still charge a bank fee for not dispensing the funds, and 7 ) do not even provide the customer with any receipt when the customer really needs a record confirming that funds were not dispensed. it appears to me these chase policies can create misappropriation of funds by the bank. actually, if an individually would set up a scheme like this, it would probably be considered fraud.

please, look into these chase procedures to ensure that chase 1 ) returns the {$750.00} to my xxxx account expeditiously ; 2 ) after retrieving funds from a customers account chase does indeed dispense the funds received ; and 3 ) if a special situation develops that chase can not dispense the funds to a customer, such funds are automatically and timely refunded to the account where chase received the funds from.

regards, xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx, xxxx xxxx xxxx chase accounts ending in xxxx  and xxxx.

xxxx account ending in xxxx   with card ending in xxxx.

cc : - xxxx office of the attorney general, consumer protection division, xxxx xxxx xxxx, xxxx, xxxx xxxx - chase bank, attn. xxxx xxxx xxxx, xxxx xxxx xxxx xxxx, xxxx xxxx xxxx, xxxx xxxx, xxxx xxxx",Checking or savings account + Checking account
"my concern is with jpmorgan chase & co. 's inability to provide my heloc loan disclosures in accordance with the federal truth in lending act and possibly the home ownership and equity protection act of 1994. they acknowledged receipt of my application on xxxx xxxx, 2017. i should have received heloc loan disclosures with my application and then should receive additional disclosures prior to the loan being opened. i do n't agree with non-disclosure. we talked about this before and it is not my job to think of the questions to ask about the loan. it is chases responsibility to disclose all the information regarding loan details to me. disclosure of info only after the contract is written, delivered, and under a 24-48 hour suspense to secure the loan is seemingly inappropriate and not in my best interest. additionally, it may be in violation of the law.
chase will not provide details of how the heloc works. i need to see the terms in writing, terms like how many years can i draw on the loan, can i lock the rate in, if i lock can i reopen and draw more if not at the max loan amount? if they exist what are late payment penalties, etc., etc. i have asked everyone from chase involved in my loan process so far, to include their executive office department that called me today. a conversation, filled with poor attitude on their part, that concluded with resending a letter they ( she ) admitted will not have the disclosure information i have been asking for. ( note : info i 'm asking for is not in regards to the interest rate as i know the rate changes with the fed ) i have a right to know the basic terms like what 's allowed, what can be done and what ca n't, basically how the loan works. it should be visible and obtainable by all customers to validate fair and equitable treatment as well as be in alignment with the lending act. the summary on their website is inadequate and truncated ( missing pieces ) to entice people to apply for their loan.
furthermore, under no circumstance should anyone be pressured under a short 24 - 48 hour window to enter a contract which could potentially cause the lost of their home.",Mortgage + Home equity loan or line of credit (HELOC)
"i had request my daughter to remove her name off my checking account, i was told she removed he name from my account xx/xx/xxxx, so i would not have to open a new account. 
also i remover my child as power of attorney over my checking account. documentation was provided to the bank. 
at no time did chase bank manger, located at xxxx xxxx xxxx, xxxx, texas tell that someone could assess my account on line- i told him several time that i was a xxxx person of xxxx, and my child had be using my account as her personal account and i wanted it stopped. he laugh about the matter. 
he never told me an app and my account had on-line assess ad of xx/xx/xxxx. 
the manager has done every thing in his power not to stop my account from being abused. 
). however, that has been a on-line scam set up on my account through xxxx, every two weeks money is being drafted out of my checking account without my permission. i want my money put back into my account as of today. otherwise, i will call the police and make a report and take legal action against this bank. xx/xx/xxxx ( amount of xxxx ), xx/xx/xxxx ( amount taken from account xxxx ) again xx/xx/xxxx ( xxxx ), xxxx told me the person is removing money from the checking account though a website. my xxxx card was cancel. that i want all on-line bank assess to my checking and savings closed that include all apps. no one should have any apps or on-line back xxxx to any account at this point. chase refused to stop the online banking on my acount. 
i ask for a print out of the account, he refuse to give me one until i told him i had concern. he gave me a print out but without who was pulling money from my account. 
next, after calling u.s. department of veterans affairs, a insurance check was deposit into a saving account without my knowledge ( check amount {$10000.00} ) xx/xx/xxxx. i have no knowledge of every having a saving account with my name on it during this period of time. but and investigation has started. who set up a saving account in my name in xxxx, i have no knowledge of chase giving me information about a saving account. 
chase bank in xxxx is helping to abuse my account and will not give me correct information on the account, i want this matter look into.",Checking or savings account + Checking account
"i misplaced my wallet on xx/xx/19 ( i found it in my couch ). this credit card in question was put up for emergency use. we used it once at xxxx xxxx on xx/xx/19 for {$28.00}. there is a charge for {$370.00} at the xxxx ohio xxxx, which we haven't shopped at for over a year now, i do not recollect using this card or shopping there this year. ( we shop at the one in xxxx wv since we live in xxxx ohio ). 

we used this card at the xxxx xxxx xxxx to pick up some candy and toys for the kids, we were on our way back from our "" fancy dinner '' in xxxx. the same day there is a charge for {$0.00} that we did not make. you'll notice this amount recurring, sometimes twice a day for over a month. 

i found my wallet the next morning on xx/xx/19 and i placed the card back up for emergency use, and never looked at the statements since its "" auto pay ''. every couple months i routinely check my cards to verify activity and balances. 




xx/xx/2019 payment thank you - web {$25.00} see details about this transaction xx/xx/2019 xxxx # xxxx groceries {$52.00} see details about this transaction ( fraudulent ) xx/xx/2019 xxxx xxxx shopping {$4.00} see details about this transaction ( fraudulent ) xx/xx/2019 xxxx xxxx   shopping {$3.00} see details about this transaction ( fraudulent ) xx/xx/2019 xxxx xxxx   shopping {$4.00} see details about this transaction ( fraudulent ) xx/xx/2019 xxxx xxxx   shopping {$15.00} see details about this transaction ( fraudulent ) xx/xx/2019 xxxx xxxx   shopping {$1.00} see details about this transaction ( fraudulent ) xx/xx/2019 xxxx xxxx   shopping {$17.00} see details about this transaction ( again, i did not make this charge, fraudulent ) xx/xx/2019 xxxx xxxx shopping {$0.00} see details about this transaction ( we did not drive 15 miles to spent xxxx cents at this store, the card has been in my bathroom lockbox a few days after i found my wallet, fraudulent ) xx/xx/2019 automatic payment - thank {$25.00} see details about this transaction xx/xx/2019 xxxx xxxx shopping {$4.00} see details about this transaction ( we did not drive 15 miles to spend {$4.00} at this dollar tree, fraudulent ) xx/xx/2019 xxxx # xxxx groceries {$53.00} see details about this transaction ( i guess this is a partial refund? ) xx/xx/2019 xxxx xxxx xxxx gas {$7.00} see details about this transaction ( i haven't been to this speedway in years ) xx/xx/2019 xxxx xxxx # xxxx groceries {$370.00} see details about this transaction ( i do not believe this is ours, the last time we shopped here was to purchase my sons bicycle for christmas since the other stores were out of stock probably fraudulent ) xx/xx/2019 xxxx xxxx shopping {$0.00} see details about this transaction ( this was not us, fraudulent ) xx/xx/2019 xxxx xxxx shopping {$28.00} see details about this transaction ( first purchase with this card ) i have called chase 3-4 times now, the first time they person said they could not access my account, and would have someone call me in 24-48 hours ( it was sunday ). i never received this call, and i called back 2-3 more times and each time i was told one particular person was on the case, so they were locked out. still no contact at this point. 

i sent emails, and "" secure messages '' via the website. all i hear back is, we will look into it and contact you back. they haven't even asked which charges are fraudulent!!! 

i have been dealing with this for over four weeks, with no contact back from chase whatsoever. they actually posted on my credit profile for this card under "" remarks '' that these charges are accurate and not to remove them ( because after 3 weeks of no contact i threatened to not pay this balance and report it as fraudulent ( you know, the fraudulent part they refuse to help with ). 

still no contact, still no questions, no help. i have never had my identity, or card information ever stolen, and now i fear, and sometimes even panic at the thought that if this had been a card with a higher limit, how bad that would be.",Credit card or prepaid card + General-purpose credit card or charge card
traded in a car and dealership didnt payoff within the 10day alotted time which resulted in a late payment dealership sent fax to chase saying it was their fault and to please remove from my credit chase removed it from xxxx  but did not from xxxx or xxxx i disputed it with both and they will not remove it. traded vehicle xx/xx/xxxx disputed xx/xx/xxxx. this was not my fault and it should be removed.,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"this issued was reported back in xxxx against the chase bank for allowing a wire fraud to take place and helping with the criminal activity. 
on xx/xx/xxxx a wire transfer for real state closing was initiated from xxxx xxxx xxxx. 2 hours later the wire details were indentify as fraud and the bank initiated the swift recall. 48 hours later on xx/xx/xxxx after the holiday the manager of the xxxx xxxx xxxx  in windward is advised the funds are frozen at chase due to name discrepancy and fraud alert. 20 days later the chase releases the money to the fraudster and closes the account. 
the bank refused to cooperate with me or the wells fargo but after the investigation of the xxxx police department cyber crime division found the account was open at the chase bank by a person with virtual number and non existing address. 
the wire transfer was sent to the closing attorneys and the bank paid it to a different person accordingly to the records and closed the account to avoid being trace. this proves the bank did cooperate with this crime.","Money transfer, virtual currency, or money service + Domestic (US) money transfer"
