complaint_what_happened,ticket_classification,processed_text
"RE : XXXX  Credit Report / Annual Credit Report, report # XXXX, date generated XX/XX/XXXX, Potentially Negative for JPMCB XXXX, XXXX XXXX XXXX dispute {$210.00} I request that the above potentially negative information to be removed from my credit report, because of the following reasons : 1. XXXX XXXX XXXX of XXXX XXXX XXXX, XXXX . XXXX, XXXX, Fl XXXX committed a fraud by using XXXX tablet without showing All sales are final, no returns on the charge of {$210.00}. 
2. Ms. XXXX XXXX of XXXX XXXX XXXX, accept the defect merchandise on XX/XX/XXXX, which was shipped by USPS priority # XXXX XXXX XXXX XXXX XXXX XXXX, without refund the {$210.00} charge to JPMCB XXXX. It is another fraud they committed. 
3. Chase Bank had been informed by me since XXXX of XXXX, by the tel., faxes, emails, and online access. The dispute process was delayed by the Chase bank. The {$210.00} dispute case was opened? approved? Denied? Re-opened? Case number was changed a couple of times. Case number was changed from Case # XXXX to Case # XXXX and finally Case # XXXX. 
This process caused delayed XXXX XXXX XXXX to admit the fraud they committed, and they refused to refund {$210.00} because the deadline for refunds had lapsed. 
4. Discrimination of XXXX XXXX ( my husband ) and me. 
XXXX talked to Chase Bank on my behalf for this dispute. They didnt agree to the open and re-open dispute. Chase Bank went ahead to lower his FICO scores from above XXXX to XXXX. XXXX disputed the allegation, then his FICO score went back to XXXX. 
XXXX FICO scores were lowered from above XXXX to XXXX, then lowered the second time to XXXX. 
5. 3 of my Chase Credit cards ( # XXXXxxxxxxx, # xxxxxxxxxxxxXXXX, # xxxxxxxxxxxxXXXX ) had been closed because of this dispute for additional punishment. 

The Fact On the date of XX/XX/XXXX, at approximately XXXX in the State of Florida , in the Town of XXXX , I undertook to enter into an electronic purchase of an electronic device. The company selling the device was XXXX XXXX, XXXX. The vendor was operating inside XXXX XXXX during the XXXX XXXX XXXX XXXX XXXX. 
The vendor, XXXX XXXX XXXX, had no SIGNAGE on their table stating any specific return policy. The vendor did not provide me with a paper receipt of the merchandise purchased. At no time, did the agent for XXXX XXXX XXXX, informed me of their All sales are final, no returns policy. 
Had I known of this policy would not have purchased the goods, I never ever purchase any merchandise on any credit card with that policy. 
The purchase transaction used a tablet. The tablet was a XXXX tablet. At no time, did the agent read aloud the full term of the purchase agreement. The vendor stated, this is what you want?, the price is {$200.00} plus tax. THAT WAS IT! At no time, was the return policy discussed, shown, or provided to me before signing on the screen of the tablet. 

Chronologic disputed outline : Chase Sapphire # XXXX XXXX XXXX, XXXX / XXXX XXXX XX/XX/XXXX, XX/XX/XXXX Charged Ref # XXXX Charged without receipt & warranty by vendors XXXX tablet XXXX & XX/XX/XXXX Tel : XXXX, XXXX, fax XXXX, XXXX. Contacted XXXX and XXXX XXXX, XXXX by tel. XXXX, Ms. XXXX & email XXXX for Serial # XXXX, NOT WORKING UNIT XX/XX/XXXX Letter from Chase for Dispute XX/XX/XXXX fax XXXX, XXXX XX/XX/XXXX Mr. XXXX XXXX of Disputed Dept. XXXX, XXXX Ms. XXXX XXXX. 
XX/XX/XXXX XXXX, XXXX Ms. XXXX XXXX. 
XX/XX/XXXX Email : XXXX XXXX, XXXX, XX/XX/XXXX Replied to Chase online for dispute Email from Chase for review until XX/XX/XXXX XX/XX/XXXX Letter from Chase for dispute {$210.00} Case # XXXX, Dissatistfied with the quality of merchandise/service received XX/XX/XXXX Chase online confirmed for dispute Returned by USPS priority # XXXX XXXX XXXX XXXX XXXX XXXX , Ms. XXXX XXXX of XXXX XXXX XXXX XXXX XXXX XXXX, XXXX . XXXX, XXXX, Fl XXXX. 
Informed by XXXX and email at XXXX XXXX XXXX. 
XX/XX/XXXX XXXX, XXXX stated, {$200.00} + {$13.00}, dont pay for it XX/XX/XXXX Chase online confirmed for dispute Returned was accepted by XXXX XXXX, XXXX. 
XX/XX/XXXX Letter from XXXX XXXX XXXX, Dispute Dept. for update on your dispute ( s ) for {$210.00}. Case # XXXX XX/XX/XXXX Received a call from Ms. XXXX from refund. 
XX/XX/XXXX Letter from XXXX XXXX of Chase, dated XX/XX/XXXX, dispute of {$210.00} was denied. Case # XXXX XX/XX/XXXX XXXX XXXX emailed XXXX for acceptance of defected good of XXXX and requested refund of {$210.00} through Chase # XXXX XX/XX/XXXX Fax XXXX, XXXX for dispute {$210.00}, Case # XXXX, Letter dated XX/XX/XXXX. 
Confirmed fax received by Supervisor XXXX XXXX of XXXX, XXXX, and XXXX XXXX of dispute Dept. 
XX/XX/XXXX XXXX, XXXX of Disputed Dept., stated new case will take 24-48 hours. Call back on XX/XX/XXXX Sunday for new case XX/XX/XXXX Re-fax XXXX of XX/XX/XXXX, total 3 pages. 
XXXX, Ms. XXXX XXXX , call back 48 hours for new case. 
XX/XX/XXXX Letter from Chase confirmed re-dispute. case # XXXX XX/XX/XXXX Letter from Chase, Denied the re-disputed. Stated in the letter we found that significant amount of time has passed since the date of the charge. Despite our effort, the merchant is not willing to credit your account. Case # XXXX XX/XX/XXXX I informed XXXX to close the credit account after I paid all charges besides XXXX XXXX XXXX charge. 
XX/XX/XXXX Letter of Past due from Chase XX/XX/XXXX XXXX, XXXX # XXXX of Dispute Dept., XXXX XXXX XXXX, Mr. XXXX, Manager of XXXX XXXX, Texas XX/XX/XXXX Sunday, a call from Chase for Dispute and re-open dispute, and past due. 
XX/XX/XXXX Sunday, a call from Chase for Dispute and re-open dispute and past due. 
XX/XX/XXXX XXXX and her Supervisor, XXXX XXXX, TX. 
XX/XX/XXXX Letter from Chase for Contacting by mail only FICO Scores Changes : Because of the dispute ( s ), XXXX XXXX ( mine ) and XXXX XXXX ( spouse ) FICO scores were impacted as followed : XXXX XXXX XXXX XXXX XX/XX/XXXX to XX/XX/XXXX Above 800 Above 800 XX/XX/XXXX Above 800 699, due to the dispute XX/XX/XXXX XXXX  ( due to the dispute ) XXXX XX/XX/XXXX to XX/XX/XXXX XXXX ( punished again for the dispute ) XXXX, XXXX, XXXX ( contested the dispute ) XX/XX/XXXX XXXX XXXX Chase Credit Cards : I had 3 JPMorgan Chase credit cards which was issued at different time. And there are all closed now, because this dispute. 
The timelines are : Chase # XXXX Chase # XXXX Chase XXXX # XXXX Account opened XX/XX/XXXX XXXX XXXX # XXXX : Credit line changed Credit line {$11000.00}. XX/XX/XXXX, Reduced to {$5000.00} from {$20000.00}, due to the dispute of XXXX  XXXX   XXXX Charge Requested {$5000.00} credit to be merged to Chase # XXXX, and denied by Chase due to the dispute. 
# XXXX : Account closed. XX/XX/XXXX due to the dispute. But it was actually closed by Chase on XXXX, XXXX. 
Chase Sapphire : Account closed at consumers request and dispute investigation complete, consumer Disagrees. Closed by Chase Bank on XX/XX/XXXX, due to the dispute of XXXX XXXX XXXX  Charge. XX/XX/XXXX This is what I did. This is what I attest. Base on the fact, I am punished by the frauds of XXXX XXXX, XXXX committed, and Chase Bank delayed the dispute process for the dispute. The punishments are not only once, twice, but more than 3 times. Twice to lower my FICO scores, then denied meagering my credit card line, lower my credit card line, then finally close my only remaining Chase credit card that was opened since XXXX.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting", credit report credit report report date generat potenti jpmcb  request inform remov credit report reason   fl commit fraud use tablet show sale merchandis ship prioriti refund charg jpmcb fraud commit bank inform sinc tel. fax email access disput process delay chase bank disput case approv case number chang time case number chang case case case process delay admit fraud commit refund deadlin refund  husband talk chase bank behalf disput didnt disput chase bank fico score  disput alleg fico score score time credit card  addit punish fact date approxim state florida town enter electron purchas electron devic compani sell vendor insid vendor signag tabl state return polici vendor paper receipt merchandis purchas time sale polici polici merchandis credit card polici purchas transact use tablet tablet tablet time agent term purchas agreement vendor state want price tax time discuss sign tablet chronolog chase sapphir charg receipt warranti vendor tablet tel  fax  contact tel   work unit letter chase disput fax mr. disput dept    email   onlin chase review letter chase case dissatistfi qualiti merchandise/servic receiv chase onlin confirm return ms.   email   state pay chase onlin confirm return letter disput dept disput case receiv call ms. refund letter chase date  deni case email  request refund chase fax case letter date  confirm fax receiv supervisor disput dept  disput dept. state case hour case page  hour case letter chase confirm re-disput case letter chase re-disput state letter amount time pass sinc date charg despit effort merchant credit account case inform close credit account charg besid charg letter chase disput dept. mr. manag texa  sunday chase disput disput sunday chase disput disput  supervisor tx letter chase contact mail fico score chang disput  mine  fico score impact follow   disput disput disput  disput chase credit card jpmorgan chase credit card issu differ time disput timelin chase chase chase account  credit line credit line disput charg request credit chase chase disput  account  disput chase  chase sapphir account request disput complet consum disagre bank  disput charg  attest base fact fraud commit bank delay disput process disput time fico score deni meager credit card line credit card line close credit card sinc 
"I just logged on to my XXXX  Credit File and noticed a few Inquiries that I do not recognize and would like removed. FCRA states I have the right to proper credit reporting. 

Here are the following inquiries that need to be removed ... 

JPMCB CARD Bank Credit Cards Inquiry date : XX/XX/XXXX Removal date : XX/XX/XXXX XXXX XXXX XXXX Bank  Credit Cards Inquiry date : XX/XX/XXXX Removal date : XX/XX/XXXX XXXX XXXX XXXX Bank Credit Cards Inquiry date : XX/XX/XXXX Removal date : XX/XX/XXXX Thank you ...","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting",log credit file inquiri recogn remov state proper credit report need remov bank credit card inquiri date remov date bank credit card inquiri date remov date bank credit card inquiri date remov date thank
"Attached you will find copies of an appeal I sent to chase in regards to charges from XXXX XXXX XXXX. There is a letter attached regarding the issue. It was first handled through the fraud department and they denied it stating it was not fraud. I never received a letter of the denial which I asked for. The fraud department told me it was a dispute issued. I have sense then appealed it through the dispute department stating I never authorized these charges they denied my dispute appeal I have attached a copy of the denial for the dispute charges. I asked chase to provide me with the information they used to deny my appeal from the merchant three reps I spoke with said they dont have anything on file. I told them I should be able to have a copy of whatever it is the merchant sent them to sent my claim. I tried to resolve the issue with chase and they are no help at all everyone transfers me around and I get diffrent information from diffrent workers. I did not purchase anything from XXXX XXXX XXXX  nor did I in anyway authorize anyone to. XXXX saw that it was all fraud when I contacted them. If someone could please tell me what my options are I would appreciate it. I tried to appeal the dispute and they told me the charges were to far back now. 

XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX  Called XXXX   XX/XX/XXXX my card was closed out and reisssued they sent me dispute paperwork Called chase back several days after got paperwork was transferred to fraud department and a fraud case was opened Spoke with several people fraud department on XX/XX/XXXX I spoke to XXXX and XXXX emailed XXXX emails from XXXX then on another date XXXX left me a voicemail then spoke with XXXX from fraud Dispute department XXXX, XXXX on XX/XX/XXXX XX/XX/XXXX spoke to XXXX transferd to XXXX he told me to give it two days didnt receive anything Called back on XX/XX/XXXX spoke to XXXX   transferd to XXXX in dispute dept transfered to supervisor XXXX",Credit card or prepaid card + General-purpose credit card or charge card,attach appeal regard charg letter regard issu handl fraud depart deni state fraud letter ask fraud depart disput issu depart state author charg deni attach copi disput charg chase provid inform use appeal merchant rep anyth file copi whatev merchant claim tri resolv issu chase help transfer inform diffrent worker anyth author anyon fraud contact someon tell option appeal disput charg  card sent disput paperwork call chase day paperwork transfer fraud depart fraud case peopl fraud depart email anoth date  spoke fraud transferd day anyth call transferd disput transfer supervisor 
I had an auto loan with chase auto finance that ended up being a total loss on XXXX XXXX XXXX XXXX paid their portion of the loan in XXXX XXXX and I contacted the dealer I purchased the vehicle from to fax the gap paperwork so I can get gap to cover the balance asap. I got in touch with gap and got the process going and never heard another word from chase or gap. I checked my credit in XXXX XXXX and saw I still had a balance on this loan so I sent a letter to chase asap and they responded that the loan was paid in full and closed. spring XXXX I noticed when I went to purchase a vehicle the lenders kept denying me saying I was 60 days late within 24 months so when I looked chase marked me for date of first delinquency XXXX and 60 days late with account paid and closed XXXX. I contacted chase and disputed several times through the credit agencies. the chase reps I spoke with went above and beyond to help me and had a few lates I got from moving out of state due to the payment issues I had because I did n't have statements to send with the payments and I greatly thank them for their help and understanding. they had trouble with the account being locked and archived when they tried again to correct the issue so during the cra dispute process someone at chase that handles the disputes changed my status from 60 days late to 91-120 days late and that I 'm XXXX payments past due and no matter how many times I dispute it everytime I dispute it and they report it the same my credit score goes down more and more. the lates are still removed from the payment history and I thank them for that. XXXX and XXXX XXXX are the only XXXX I 'm concerned with XXXX reported correctly.,Consumer Loan + Vehicle loan,auto loan auto loss portion loan contact dealer purchas vehicl fax gap paperwork cover balanc asap gap word chase gap credit loan letter chase respond loan spring  vehicl lender day month look mark date day account contact chase time credit agenc help state payment statement payment thank help troubl account lock archiv tri cra disput process someon chase handl status day day payment matter mani time disput credit score goe payment histori thank concern report correct
"XX/XX/20 Email received indicating credit limit on credit card reduced in half without any indication why, or forewarning. Called CSR confirmed but told to call after holiday for more info. 
XX/XX/20 Spoke with XXXX. She said could affect my credit rating-call # on card. 
Spoke w/ XXXX XXXX CSR ) -Told letter had been sent. Sorry I did not receive, but Chase decided anyone not using card enough would have credit limit slashed in half. Would not affect credit. No mention of 30 day option to stop action. 
Spoke w/ XXXX XXXX ( supervisor ) Told letter sent had ability to stop credit reduction if responded to within 30 days. Told could affect my credit EVEN IF I STAYED WITHIN THE SAME RATIO OF CREDIT USED AS A PORTION OF TOTAL CREDIT AVAILABLE. I asked considering never received letter and they email me all the time whether they could reverse the reduction. XXXX said no and I requested to speak to his superior. After a long time on hold he told me a colleague not superior could get back to me in five business days. 
I have had excellent credit ( 800 plus ) w/ no infractions my whole life. I am furious that this could affect my credit rating as a result of nothing I did to cause it. I am very frustrated with Chase for putting me in this position.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting",email receiv credit limit credit card half csr confirm call holiday info credit card csr letter sent sorri receiv decid anyon use card credit limit half credit mention day option action supervisor letter sent abil credit reduct respond day told credit ratio credit use portion credit avail consid letter email time reduct  speak time hold superior day credit life credit rate result caus chase posit
"Erroneous item CHASE # XXXX ( or Chase Mortgage XXXX. ) reported by Chase to all three credit bureaus. I have repeatedly disputed and requested verification and validation of this inaccurate debt for over two years now. Chase has responded only with improper verification form letters that provide no backup documentation or proof of this debt being mine. To properly validate a debt by law, a copy of the original contract signed by and obligating me to the debt must be provided to myself. Chase has negligently and willfully failed to validate this debt, and is in violation of sections 611 ( a ), 616, and 617 of the FCRA, 15 U.S.C. 1681i ( a ), 1681n, 1681o, subject to a {$1000.00} fine for each instance.",Mortgage + Home equity loan or line of credit (HELOC),erron item mortgag report credit bureaus repeat disput request verif debt year improp verif form letter provid backup document proof debt mine debt law contract sign debt chase neglig debt section fcra u.s.c instanc
"In XXXX of 2015 I refinanced my current Chase Mortgage loan with what I thought was a HARP loan through Chase to lower my interest rate. I asked several times and was informed there would be no fees attached to this loan. My balance at the time was $ XXXX it is now at $ XXXX. I did not anticipate $ XXXX plus in fees. At closing there was also a {$1000.00} amount that said "" if the borrower agrees '' however if I did n't agree they said the loan would not fund. I this really a HARP loan or just a regular refi?",Mortgage + Conventional fixed mortgage, refinanc chase mortgag loan loan chase interest rate time inform attach loan balanc time  fee amount loan loan refi
"With regard to my Chase Freedom credit card account number XXXX, I requested a COVID-related accommodation for a late payment but was denied. 

Chase Freedom is reporting to the credit reporting agencies ( CRAs ) a 30-day late payment for a missed payment between XX/XX/XXXX and XX/XX/XXXX. 

The late payment is COVID-related. At the time my mother-in-law was in a hospital in New Jersey for a XXXX XXXX XXXX when she contracted XXXX and remained sick for two months. During this time of anguish and uncertainty I completely lost track of the Chase Freedom account, but as soon as I realized that payment was late I immediately made payment in full on XX/XX/XXXX. 

I asked Chase to make a COVID-related accommodation pursuant to the CARES Act, but was denied on grounds that they can not make accommodations for past credit reporting. 

However, pursuant to the terms of the CARES Act, I am worse off having made full payment without requesting an accommodation than if I had first requested an accommodation and then made the payment. This is nonsensical. 

Per Cares Act, 15 USC section 1681s-2 ( a ) ( 1 ) ( F ) ( ii ) ( II ) ( bb ), if an account was delinquent before an accommodation is made and the account is brought current during the period of accommodation, then the information furnisher must report the account to the CRAs as current. 

Here, my account was delinquent. I missed a payment due to COVID illness in my family. I made complete payment before requesting an accommodation. Chase says they are obligated to continue reporting the account as 30-days late despite it being COVID-related, and despite CFPB guidance for lenders to work constructively with borrowers affected by COVID, ( per CFPB guidance dated XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX ). 

Meanwhile, if I had not made the payment and remained delinquent, then requested an accommodation from Chase while still delinquent, then per the CARES Act section cited above I could have brought the account current and Chase would be required to report the account as current. 

I am being penalized for bringing the account current without having first asked for a CARES Act accommodation. This is an absurd and unfair result that contradicts the CFPB guidance that lenders accommodate borrowers affected by COVID.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting",regard chase freedom credit card account number accommod payment deni chase freedom report credit report agenc payment payment payment covid-rel time mother-in-law hospit jersey contract month time complet track chase freedom account payment immedi payment  accommod pursuant care act ground accommod credit report howev term care act payment request accommod request accommod payment care act section f ii ii bb accommod account period accommod account delinqu payment covid ill famili payment request accommod report despit covid-rel despit cfpb guidanc lender work construct covid cfpb guidanc date meanwhil payment remain delinqu request accommod chase care act section cite chase report account bring account ask care act accommod result contradict cfpb guidanc lender accommod borrow affect covid
"Chase Bank has refused to honor my promissory note which is my financial asset yet kept it beyond the midnight deadline. That asset is connected to my UCC # XXXX is seen as cash XXXX & XXXX. which I signed in front of and gave a copy to law enforcement Chase Bank policy not above the Arizona Law nor United States Code. 
Chase Bank would have had to return all the documentation given to it to avoid incurring liability. This did not happen. Arizona Revised Statute XXXX XXXX. 
1.A demand item, other than a documentary draft, whether properly payable or not, if the bank, in any case in which it is not also the depositary bank, retains the item beyond XXXX of the banking day of receipt without settling for it or, whether or not it is also the depositary bank, does not pay or return the item or send notice of dishonor until after its midnight deadline ; or 2.Any other properly payable item unless, within the time allowed for acceptance or payment of that item, the bank either accepts or pays the item or returns it and accompanying documents. 
I sign all my Private Bankers Notes ( promissory notes ) in front of law enforcement and give them copies so they know I am not doing any kind of fraud. I also include a card with every Private Bankes Note I create to the police department where the note is witnesses being signed.",Bank account or service + Other bank product/service,bank refus note financi asset midnight deadlin asset cash sign law enforc bank polici law unit state code bank document incur liabil statut demand item documentari draft payabl bank case bank bank day settl bank return item dishonor midnight deadlin item time payment item bank pay item document sign banker note note front law copi kind fraud card everi bank note creat depart note wit sign
"In the months of XXXX, XXXX and XX/XX/2020, My family and I was affected by XXXX XXXX. I was XXXX and had to stop working due to XXXX that had impacted me doing those vary difficult months. I called Chase Auto to inform them I was impacted by the XXXX, and weren't able to pay my car payments at that time. I had been hospitalized for five weeks due to the XXXX. After I came home, I wasn't able to return back to work right away because my body needed time to fully heal. Chase Auto informed me that they would put those three late payments in the rear of the loan and I could start paying car payments as though nothing ever happened. I returned back to work and resume paying my car payments again. Chase Auto reported that I was XXXX days late to the credit reporting agencies and gave me a bad credit rating because I had fallen XXXX with XXXX   XXXX, and could not pay my car payments on time these three months. I was informed that when payments are deferred, you do not get any negative marks on the credit file because the payments are deferred and put in the fear of the loan. Chase Auto deferred the three late  payments and still gave me the negative marks as if the payments were not deferred. I would like for them to make the corrections so that my credit file will reflect on late payments for these three months.",Debt collection + Auto debt,month  famili work impact vari month auto inform impact pay car payment time hospit week  home work time heal auto inform payment rear loan car payment work resum pay car payment auto report day credit report credit rate car payment time month payment defer mark credit payment defer loan auto payment mark payment defer credit file payment month
"JPMCB auto finance XX/XX/2015 {$17000.00} They didnt give me a chance to pay the months I had backed up they wanted the full amount of the loan. And at the time I was unable to due to my job being lost, responsibilities and bills due.",Vehicle loan or lease + Loan,auto financ didnt chanc pay month amount loan time job bill
"I rented a vehicle from XXXX in XXXX, XXXX on XX/XX/XXXX. 
The rental was for two days with the vehicle due back before XXXX XXXX on Sunday XXXX XXXX. 

I returned the vehicle at approx XXXX XXXX on XXXX XXXX and later that day received an e-receipt from XXXX. The bill was incorrect as they showed a return time for the vehicle of XXXX XXXX. 

I contacted the XXXX contact center the next day to complain. I was told that it would take six weeks to resolve the issue as the team had no ability to see or resolve international reservations. I eventually got through to an XXXX Customer Service Manager ( who identified herself at XXXX, Floor Supervisor in XXXX, Employee No. XXXX ). XXXX was wholly unhelpful and told me I had no option than to wait. I was given no complaint number and no resolution status. 

I have used XXXX for many years and regularly drop off my rented vehicle at airports without any issues. 

My complaint : XXXX XXXX XXXX team did not book in the car at the time it was returned. Proof of this is my return flight from XXXX XXXX to XXXX XXXX ( I sent copies of this to both XXXX and Chase, my Credit Card provider ) * XXXX did not provide a response to my complaint * I disputed this charge with my credit card provider, Chase. They issued a "" temporary credit '' on the charge while they took time to investigate the dispute. 
* I cooperated with all inquiries made to me by Chase Bank * I noticed that this "" temporary credit '' was still appearing on my credit card bill in XX/XX/XXXX, i.e. nearly two years after the initial dispute * I raised the issue with Chase via their online portal. After several weeks I received an electronic response to say that Chase had found in the Merchant 's favor by virtue of the excess time that the dispute was open. This despite the fact that I have received no communication from wither Chase or XXXX in more than 18 months * I called Chase to complain. I feel I was mis-led by their operator XXXX XXXX and her Supervisor XXXX, who stated that it was normal Chase practice to leave open disputes until such time as either the cardholder or merchant called. I played back an example in which I purchased {$10000.00} of good then disputed the transaction the next day. XXXX insisted that the charge would be held in dispute in perpetuity if Chase was waiting for a response from either the Cardholder or the Merchant, with no limitation on time. I feel that this is a gross mis-characterization of the actual dispute process and was offered as a diversion to Chase 's failing in executing my original dispute transaction Chase has agreed to credit my account with {$75.00} ( the approximate amount of the disputed charge ), however it is their poor processes and deceptive explanations that I wish to highlight",Credit card or prepaid card + General-purpose credit card or charge card,rent vehicl day  sunday return approx day bill show return time contact contact center day complain week resolv issu team abil reserv eventu custom servic manag floor supervisor employe  wholli unhelp option wait number resolut status year drop rent vehicl airport issu complaint team book car time return return flight copi chase credit card provid disput charg credit card provid chase credit time investig disput inquiri bank credit credit card bill i.e year initi disput rais issu chase portal sever week receiv electron chase merchant favor virtu time disput despit fact wither chase month call chase complain supervisor  state chase leav disput time merchant call exampl purchas disput day insist charg chase wait merchant limit time disput process offer execut origin chase agre credit account amount charg process decept explan highlight
"Good evening, I have had a horrible experience with Chase bank, I am in the process of filing a law suit. This bank where I opened my business account with has had such horrible customer service and absolutely no customer protection. I have an online e commerce company, the first time Chase locked my account for 7 days that meant no business no sales no incoming payments for 7 days during the heigh of covid 19. Than after repeatedly hounding them down calling 50x with no answer and being hung up on, they tell me if was their fault and than everything would be fine. Than I check my account 3 weeks later, to find out it is restricted again, this time they sent XXXX in sales back to the customer with no notification to me that their was a dispute nothing. Just sent my money back after the customers got their products 3 weeks after the sale.To follow they have decided to close my business account in the middle of the holiday XXXX shopping season. To date if progression and sales were to follow their average trend i have lost around XXXX XXXX dollars in revenue. Worst bank i have ever dealt with, the only time they do anything is if you mention sueing, they XXXX their own customers over with no amends nothing.",Checking or savings account + Checking account,bank process file law suit bank busi account custom absolut custom protect e commerc compani time chase lock account day sale payment day repeat hound call answer hung fault everyth account week restrict time sale notif disput money custom product week sale.to decid busi account holiday shop season date progress sale trend dollar revenu bank time mention sue custom
"On  XXXX  -17 a t  XXXX , Florida  Branch of Chase JP Morgan bank, I need ed to wire transfer almost {$160000.00} from my checking account that I have had with  Chase JP Morgan ba nk to the  XXXX   XXXX   XXXX   ,   XXXX  located in  XXXX , Florida.   The transfer was performed quickly without any disturbance, however the problems appeared after I requested written confirmation for that transaction. The employee who performed the transfer (  XXXX   XXXX   XXXX   ) br ought the filled up form of Wire Transfer Outgoing Request but refused signing that confirmation. I was very surprised and asked why couldnt he signed that form. He told me that the rules dont let him. That made me even more surprised. After some painful conversation he went to the branc h manager asking for signature. She, ( the branch manager, a  lady who didnt even introduced herself, so I dont know her name ) signed that form.   However, when I asked her to sign the Service Confirmation form she refused telling me that the bank branch keeps all documents. Thats alright but I need that document in my records as well, I said. Still, she wouldnt sign that document. I was not able to understand what was the problem with signing that document by the manager or the employee who performed the money transfer. I strongly requested signing she kept refusing. She raised voice at me in public in the main area of the branch office. Many people witnessed that very ugly quarrel. Finally I was forced to give up and I left the branch without the signed document. I hope I dont need to explain how upset, insulted and humiliated I felt. And I still dont understand what was the reason for that lady to be so stubborn refusing signing the document given to customer. The document important to me  ( almost {$170000.00} ), which in nor mal business environment mustve been signed by a responsible party. If I had a little bit more time I would probably call police because her behavior looked very suspicious.   I have been your client for probably longer than 15 years. Was my request really something illegal or unusual? I have to say also that Ive never been treated in any business place like that written above.   The situation, which Ive described above brings impression that the Chase bank doesnt care much about its customers, because some of Banks employee miss the basic skills, neither training to deal with customers, act very unprofessionally ; having no idea how they need to treat the Banks customers.     The worst is that I still do not have idea why I had been exposed to all of that stress. Why the person, who made important work for the customer was so stubborn and rude and kept refusing to the end, signing that job was done properly. I can not believe that.","Money transfer, virtual currency, or money service + Domestic (US) money transfer",branch chase jp bank wire transfer check account chase jp ba nk locat florida quick disturb howev problem request transact transfer br wire transfer request refus sign confirm couldnt sign form rule dont let pain branc h manag ask signatur branch manag name sign form howev sign confirm form refus bank branch document record well sign document understand problem sign document manag employe money transfer request sign refus area branch offic mani peopl wit quarrel forc give branch sign document hope need humili felt reason ladi refus sign document custom document import busi environ mustv sign bit time look suspici client probabl year request realli someth illeg unusu place situat describ bring impress chase bank doesnt care custom bank employe basic skill train deal custom unprofession idea bank custom idea stress person import work custom rude end job proper believ
"Over the course of the last 5-6 months, I have had to contact Chase several times for charges placed on my account. I have several alerts attached to my account to notify of issues such as an overdrawn account, insufficient funds and when the account balance falls below a certain amount. These alerts are scheduled to come via the Chase mobile app ( as push notifications ) which advertises account alerts as one of the features for the company and the app, via text message AND email. I have had to reach out to this company several times to figure out why I am not receiving account alerts as advertised, not only that but I am being charged insufficient funds fee for overdrafts that I was not notified of. My consumer record with this company is impeccable, in the past if my account was overdrawn it was fixed promptly after I was notified. It is completely unacceptable for this company to continue to operate using these deceptive practices and advertising models. This is an issue that occurs far too often for this "" company '' to still operate and holds consumers ' funds. I have been a customer for over 7 years and have never been more dissatisfied with a "" banking solution '' than I have been with Chase. My account was overdrawn on XX/XX/20 and I never received a notification, push or text, or email alert of this occurence although I have more than 10 alerts active on my account. I logged in to my account XX/XX/20 to find that not only was my account overdrawn but I was also charged {$34.00} insufficient funds fee. I immediately contacted Telephone Banking to once again attempt to find out why this is continuing to happen. XXXX was of little help even after I explained that they have record that I have had to continually reach out to have this resolved. I've also spoken with several associates that have this same issue, this company is not allowed to take advantage of consumers and force them to pay fees if they do not deliver the proper and adequate services offered. This company has misled me as well as other consumers based on the functionality of its services. Not once did any representative offer to rectify this situation in a way that would be best for the consumer even after the deceptive advertising and service practices.",Checking or savings account + Checking account,month chase sever time place account sever attach account overdrawn account insuffici fund account balanc fall amount chase mobil app notif advertis account featur compani app messag email sever time receiv account advertis fund fee overdraft notifi consum record compani impecc account overdrawn fix notifi complet compani continu use advertis model hold consum fund custom year bank chase account text activ account log account account overdrawn insuffici fund fee contact telephon bank attempt continu happen littl help record continu reach resolv ve issu take advantag consum pay fee deliv adequ servic offer compani misl base function servic way consum advertis servic practic
Well I 've been a victim of robbery I tried reporting it to chase bank and the said that I need it to be sure and they keeps charging from my account and know I dnt have money and chase does t want to help all they say was well your account is close and yourve no longer making business with us,Checking or savings account + Checking account,robberi report bank charg account money chase help yourv
"sent the police report of the ftc violations please remove the ftc violations XXXX  chase XXXX  XXXX 4 late payments were b/c of the ftc violations If a bill collector violates the Fair Debt Collection Practices Act, you might be able to sue and recover money and other damages. The Fair Debt Collection Practices Act ( FDCPA ) protects debtors from harassment by debt collectors. If a collector has violated the FDCPA, you can sue the collector in court. 

which they all did and in violations","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting",report  chase payment b/c ftc bill collector debt collect act sue money damag debt collect act fdcpa debtor harass debt collector collector fdcpa sue collector court violat
